Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
8/1/2020,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0
8/4/2020,0,0,0,0,0,0,0
8/5/2020,0,0,0,0,0,0,0
8/6/2020,5,0,0,0,0,0,0.3
8/7/2020,0.6,7,0,0,1,3,8
8/8/2020,0,0,0,0,0,0,0
8/9/2020,0,0,0,0,0,0,0
8/10/2020,0,0,0,0,0,0,0
8/11/2020,0,0,0,0,0,0,0
8/12/2020,0,0,0,0,0,0,0
8/13/2020,0,0,0,0,0,0,0
8/14/2020,0,0,0,0,0,0.1,0
8/15/2020,0,0,0,0,0,0,0
8/16/2020,0,0,0,0,0,0,0
8/17/2020,0,0,0,0,0,0,0
8/18/2020,0,0,0,0,0,0,0
8/19/2020,0,0,0,0,0,0,0
8/20/2020,0,0,0,0,0,0,0
8/21/2020,0,0,0,0,0,0,0
8/22/2020,0,0,0,0,0,0,0
8/23/2020,0,0,0,0,0,0,0
8/24/2020,0,0,0,0,0,0,0
8/25/2020,0,0,0,0,0,0,0
8/26/2020,0,3,5,0,3,0,6
8/27/2020,0,0,0,0,3,35,0
8/28/2020,0,0,0,0,0,0,0
8/29/2020,4,0,0,0,0,0,0
8/30/2020,0,0,0,0,0,0,0
8/31/2020,4,0.8,0.4,2,18,12,0
9/1/2020,22,26,29,17,3,74,41
9/2/2020,3,4,0.8,0,0.1,8,9
9/3/2020,0,0,0,0,0,0,0
9/4/2020,0,0,0,0,0,0,0
9/5/2020,0,0,0,0,4,0,0
9/6/2020,0,0,0,0,0,0,0
9/7/2020,0,0,0,0,0,0,0
9/8/2020,0,0,0,0,0,0.2,0
9/9/2020,0,0,0,0,0,0,0.3
9/10/2020,0,0,0,0,0,0,0
9/11/2020,0,0,0,0,16,9,0
9/12/2020,0,0,0,0,0.4,0,0
9/13/2020,0,0,0,0,0,7,0
9/14/2020,0,0,0,0,0,0,0
9/15/2020,0,0,0.5,0,0,2,0
9/16/2020,0,0,0,0,0,0,0
9/17/2020,0,0,0,0,0,0,0
9/18/2020,0,0,0,0,0,0,0
9/19/2020,0,0,0,0,0,0,0
9/20/2020,0,0,0,0,0,0,0
9/21/2020,0,0,0,0,0,0,0
9/22/2020,0,0,0,0,0,0,0
9/23/2020,0,0,0,0,0,0,0
9/24/2020,0,0,0,0.1,0,0,0
9/25/2020,17,0,0.9,4,0,0,14
9/26/2020,0,1,0,0,27,7,0.5
